unitid,institution_name,alias_name,city,county_name,state,zip_code,control_code,control_label,sector_code,iclevel_code,iclevel_label,locale_code,locale_label,web_address,admissions_url,financial_aid_url,net_price_url,application_url,opeid_raw,opeid8,opeid6,source_year,source_table,source_url,seo_slug,seo_focus_keyword,seo_secondary_keyword,seo_title_vi,seo_h1_vi,seo_meta_description_vi,seo_content_cluster,seo_search_intent
110468,Alliant International University-San Diego,,San Diego,San Diego County,CA,92131,3,Private for-profit,3,1,4-year,11,City: Large,https://www.alliant.edu/,https://www.alliant.edu/admissions/,https://www.alliant.edu/admissions/financial-aid-and-scholarship-resources,https://www.alliant.edu/net-price-calculator,https://apply.alliant.edu/,01111700,01111700,011117,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,alliant-international-university-san-diego-san-diego-california,review Alliant International University-San Diego california,hoc phi Alliant International University-San Diego 2026,"Alliant International University-San Diego review 2026: hoc phi, dieu kien, OPEID",Review Alliant International University-San Diego o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Alliant International University-San Diego tai San Diego, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
490081,America Evangelical University,,Gardena,Los Angeles County,CA,90247-4432,2,Private nonprofit,2,1,4-year,13,City: Small,www.aeu.edu/,www.aeu.edu/#,,it21inc.net/demos/netprice-calculator/Theology/npcalc.htm,,04227100,04227100,042271,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,america-evangelical-university-gardena-california,review America Evangelical University california,hoc phi America Evangelical University 2026,"America Evangelical University review 2026: hoc phi, dieu kien, OPEID",Review America Evangelical University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho America Evangelical University tai Gardena, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
108852,American Academy of Dramatic Arts-Los Angeles,AADA,Los Angeles,Los Angeles County,CA,90028,2,Private nonprofit,5,2,2-year,11,City: Large,www.aada.edu/,www.aada.edu/,https://www.aada.edu/admissions/financial-aid/,https://www.aada.edu/admissions/net-price-calculator/,https://www.aada.edu/admissions/full-time-application/,00746501,00746501,007465,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-academy-of-dramatic-arts-los-angeles-los-angeles-california,review American Academy of Dramatic Arts-Los Angeles california,hoc phi American Academy of Dramatic Arts-Los Angeles 2026,"American Academy of Dramatic Arts-Los Angeles review 2026: hoc phi, dieu kien, OPEID",Review American Academy of Dramatic Arts-Los Angeles o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Academy of Dramatic Arts-Los Angeles tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
441052,American Career College-Anaheim,,Anaheim,Orange County,CA,92801-0000,3,Private for-profit,6,2,2-year,11,City: Large,https://americancareercollege.edu/,https://americancareercollege.edu/attend-acc/requirements-for-admissions,https://americancareercollege.edu/attend-acc/financial-aid,https://americancareercollege.aidcalc.cloud/,https://americancareercollege.edu/apply-online,02241801,02241801,022418,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-career-college-anaheim-anaheim-california,review American Career College-Anaheim california,hoc phi American Career College-Anaheim 2026,"American Career College-Anaheim review 2026: hoc phi, dieu kien, OPEID",Review American Career College-Anaheim o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Career College-Anaheim tai Anaheim, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
109040,American Career College-Los Angeles,,Los Angeles,Los Angeles County,CA,90004,3,Private for-profit,6,2,2-year,11,City: Large,https://americancareercollege.edu/,https://americancareercollege.edu/attend-acc/requirements-for-admissions,https://americancareercollege.edu/attend-acc/financial-aid,https://americancareercollege.aidcalc.cloud/,https://americancareercollege.edu/apply-online,02241800,02241800,022418,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-career-college-los-angeles-los-angeles-california,review American Career College-Los Angeles california,hoc phi American Career College-Los Angeles 2026,"American Career College-Los Angeles review 2026: hoc phi, dieu kien, OPEID",Review American Career College-Los Angeles o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Career College-Los Angeles tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
447768,American Career College-Ontario,,Ontario,San Bernardino County,CA,91764,3,Private for-profit,6,2,2-year,12,City: Midsize,https://americancareercollege.edu/,https://americancareercollege.edu/attend-acc/requirements-for-admissions,https://americancareercollege.edu/attend-acc/financial-aid,https://americancareercollege.aidcalc.cloud//,https://americancareercollege.edu/apply-online,03971300,03971300,039713,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-career-college-ontario-ontario-california,review American Career College-Ontario california,hoc phi American Career College-Ontario 2026,"American Career College-Ontario review 2026: hoc phi, dieu kien, OPEID",Review American Career College-Ontario o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Career College-Ontario tai Ontario, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
422835,American College of Healthcare and Technology,,Riverside,Riverside County,CA,92505,3,Private for-profit,6,2,2-year,11,City: Large,www.ach.edu/,www.ach.edu/,www.ach.edu/,www.ach.edu/getting-started/financial-aid/net-price-calculator/,,03144400,03144400,031444,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-college-of-healthcare-and-technology-riverside-california,review American College of Healthcare and Technology california,hoc phi American College of Healthcare and Technology 2026,"American College of Healthcare and Technology review 2026: hoc phi, dieu kien, OPEID",Review American College of Healthcare and Technology o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American College of Healthcare and Technology tai Riverside, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
108870,American Film Institute Conservatory,AFI Conservatory,Los Angeles,Los Angeles County,CA,90027-1625,2,Private nonprofit,2,1,4-year,11,City: Large,www.afi.com/,conservatory.afi.com/,conservatory.afi.com/applying-for-aid/,conservatory.afi.com/tuition-and-fees/,conservatory.afi.com/admissions-requirements/,02222000,02222000,022220,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-film-institute-conservatory-los-angeles-california,review American Film Institute Conservatory california,hoc phi American Film Institute Conservatory 2026,"American Film Institute Conservatory review 2026: hoc phi, dieu kien, OPEID",Review American Film Institute Conservatory o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Film Institute Conservatory tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
116846,American Jewish University,AJU,Los Angeles,Los Angeles County,CA,90077-1519,2,Private nonprofit,2,1,4-year,11,City: Large,www.aju.edu/,www.college.aju.edu/undergraduate/admissions/,www.college.aju.edu/affordability/,www.aju.edu/financial-aid/tuition-and-fees/net-price-calculator,www.aju.edu/,00274100,00274100,002741,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-jewish-university-los-angeles-california,review American Jewish University california,hoc phi American Jewish University 2026,"American Jewish University review 2026: hoc phi, dieu kien, OPEID",Review American Jewish University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Jewish University tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
461263,American Medical Sciences Center,,Glendale,Los Angeles County,CA,91204-5108,3,Private for-profit,3,1,4-year,12,City: Midsize,www.amsc.edu/,,,amsc.edu/financial-aid/net-price-calculator/,,04159700,04159700,041597,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-medical-sciences-center-glendale-california,review American Medical Sciences Center california,hoc phi American Medical Sciences Center 2026,"American Medical Sciences Center review 2026: hoc phi, dieu kien, OPEID",Review American Medical Sciences Center o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American Medical Sciences Center tai Glendale, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109208,American River College,American River | ARC,Sacramento,Sacramento County,CA,95841-4286,1,Public,4,2,2-year,21,Suburb: Large,https://www.arc.losrios.edu/,https://www.arc.losrios.edu/admissions,https://www.arc.losrios.edu/student-resources/financial-aid,https://www.arc.losrios.edu/admissions/cost-of-attendance/net-price-calculator,https://www.arc.losrios.edu/admissions/get-started-and-apply,00123200,00123200,001232,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-river-college-sacramento-california,review American River College california,hoc phi American River College 2026,"American River College review 2026: hoc phi, dieu kien, OPEID",Review American River College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American River College tai Sacramento, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
433004,American University of Health Sciences,AUHS,Signal Hill,Los Angeles County,CA,90755-3612,3,Private for-profit,3,1,4-year,21,Suburb: Large,https://www.auhs.edu/,https://www.auhs.edu/admissions/,https://www.auhs.edu/resources/offices/financial-aid/,https://www.auhs.edu/media/resources/financial_aid/npcalc/npcalc.htm,https://www.auhs.edu/admissions/admission-forms/,03225300,03225300,032253,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,american-university-of-health-sciences-signal-hill-california,review American University of Health Sciences california,hoc phi American University of Health Sciences 2026,"American University of Health Sciences review 2026: hoc phi, dieu kien, OPEID",Review American University of Health Sciences o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho American University of Health Sciences tai Signal Hill, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
457299,Angeles College,,Los Angeles,Los Angeles County,CA,90010,3,Private for-profit,3,1,4-year,11,City: Large,https://www.angelescollege.edu/,https://www.angelescollege.edu/admissionsandaid/admissions/,https://www.angelescollege.edu/financial-aid/,https://angelescollege.edu/npcalc.html,https://www.angelescollege.edu/,04160400,04160400,041604,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,angeles-college-los-angeles-california,review Angeles College california,hoc phi Angeles College 2026,"Angeles College review 2026: hoc phi, dieu kien, OPEID",Review Angeles College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Angeles College tai Los Angeles, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109350,Antelope Valley Community College District,,Lancaster,Los Angeles County,CA,93536-5426,1,Public,1,1,4-year,21,Suburb: Large,www.avc.edu/,www.avc.edu/studentservices/adminrec/,www.avc.edu/studentservices/finaid/,https://misweb.cccco.edu/npc/621/npcalc.htm,www.avc.edu/studentservices/adminrec/applyonline,00111300,00111300,001113,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,antelope-valley-community-college-district-lancaster-california,review Antelope Valley Community College District california,hoc phi Antelope Valley Community College District 2026,"Antelope Valley Community College District review 2026: hoc phi, dieu kien, OPEID",Review Antelope Valley Community College District o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Antelope Valley Community College District tai Lancaster, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
245838,Antioch University-Los Angeles,AULA|Antioch|Antiok|Antioc|Antoich,Culver City,Los Angeles County,CA,90230-7615,2,Private nonprofit,2,1,4-year,21,Suburb: Large,www.antiochla.edu/,www.antiochla.edu/admissions,www.antiochla.edu/admissions,https://www.antiochla.edu/admissions,https://www.antiochla.edu/admissions,00301002,00301002,003010,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,antioch-university-los-angeles-culver-city-california,review Antioch University-Los Angeles california,hoc phi Antioch University-Los Angeles 2026,"Antioch University-Los Angeles review 2026: hoc phi, dieu kien, OPEID",Review Antioch University-Los Angeles o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Antioch University-Los Angeles tai Culver City, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
245847,Antioch University-Santa Barbara,AUSB,Santa Barbara,Santa Barbara County,CA,93101,2,Private nonprofit,2,1,4-year,13,City: Small,www.antiochsb.edu/,www.antiochsb.edu/admissions/contact-admissions/,www.antiochsb.edu/financial-aid/,www.antiochsb.edu/financial-aid/,www.antioch.edu/admission-aid/admissions/,00301003,00301003,003010,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,antioch-university-santa-barbara-santa-barbara-california,review Antioch University-Santa Barbara california,hoc phi Antioch University-Santa Barbara 2026,"Antioch University-Santa Barbara review 2026: hoc phi, dieu kien, OPEID",Review Antioch University-Santa Barbara o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Antioch University-Santa Barbara tai Santa Barbara, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
498456,Arizona College of Nursing-Ontario,,Ontario,San Bernardino County,CA,91761-1201,3,Private for-profit,3,1,4-year,12,City: Midsize,https://www.arizonacollege.edu/,,,https://www.arizonacollege.edu/admissions/financial-aid/net-price-calculator/,,03115013,03115013,031150,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,arizona-college-of-nursing-ontario-ontario-california,review Arizona College of Nursing-Ontario california,hoc phi Arizona College of Nursing-Ontario 2026,"Arizona College of Nursing-Ontario review 2026: hoc phi, dieu kien, OPEID",Review Arizona College of Nursing-Ontario o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Arizona College of Nursing-Ontario tai Ontario, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109651,Art Center College of Design,,Pasadena,Los Angeles County,CA,91103,2,Private nonprofit,2,1,4-year,12,City: Midsize,www.artcenter.edu/,www.artcenter.edu/admissions/overview.html,www.artcenter.edu/admissions/tuition-and-aid/financial-aid/financial-aid-eligibility.html,https://tcc.ruffalonl.com/Art-Center-College-of-Design/Freshman-Calculator,www.artcenter.edu/apply.html,00111600,00111600,001116,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,art-center-college-of-design-pasadena-california,review Art Center College of Design california,hoc phi Art Center College of Design 2026,"Art Center College of Design review 2026: hoc phi, dieu kien, OPEID",Review Art Center College of Design o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Art Center College of Design tai Pasadena, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
447777,Asher College,,Sacramento,Sacramento County,CA,95825,3,Private for-profit,6,2,2-year,21,Suburb: Large,www.asher.edu/,www.asher.edu/,www.asher.edu/Career-College/Financial-Aid.html,www.asher.edu/Career-College/calculator.html,,04057300,04057300,040573,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,asher-college-sacramento-california,review Asher College california,hoc phi Asher College 2026,"Asher College review 2026: hoc phi, dieu kien, OPEID",Review Asher College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Asher College tai Sacramento, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
154022,Ashford University,,San Diego,San Diego County,CA,92123,3,Private for-profit,3,1,4-year,11,City: Large,www.uagc.edu/,www.uagc.edu/admissions/,www.uagc.edu/tuition-financial-aid,https://uagc.studentaidcalculator.com/survey.aspx,https://apply.uagc.edu/applyweb/,00188100,00188100,001881,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,ashford-university-san-diego-california,review Ashford University california,hoc phi Ashford University 2026,"Ashford University review 2026: hoc phi, dieu kien, OPEID",Review Ashford University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Ashford University tai San Diego, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
444361,ATA College,ATA College,El Cajon,San Diego County,CA,92020,3,Private for-profit,6,2,2-year,21,Suburb: Large,https://atacollege.edu/,https://atacollege.edu/consumer-information/,https://atacollege.edu/consumer-information/,https://atacollege.edu/consumer-information/,https://apply.atacollege.edu/,03532400,03532400,035324,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,ata-college-el-cajon-california,review ATA College california,hoc phi ATA College 2026,"ATA College review 2026: hoc phi, dieu kien, OPEID",Review ATA College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho ATA College tai El Cajon, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
444325,ATI College-Whittier,,Whitter,Los Angeles County,CA,90603-0000,3,Private for-profit,3,1,4-year,21,Suburb: Large,www.ati.edu/,www.ati.edu/,www.ati.edu/,www.ati.edu/financial-aid/net-price-calculator.html,www.ati.edu/,03740400,03740400,037404,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,ati-college-whittier-whitter-california,review ATI College-Whittier california,hoc phi ATI College-Whittier 2026,"ATI College-Whittier review 2026: hoc phi, dieu kien, OPEID",Review ATI College-Whittier o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho ATI College-Whittier tai Whitter, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109785,Azusa Pacific University,,Azusa,Los Angeles County,CA,91702-7000,2,Private nonprofit,2,1,4-year,21,Suburb: Large,www.apu.edu/,www.apu.edu/admissions/,www.apu.edu/sfs/,https://www.apu.edu/undergraduate-admissions/financialaid/calculator/,https://www.apu.edu/undergraduate-admissions/apply/,00111700,00111700,001117,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,azusa-pacific-university-azusa-california,review Azusa Pacific University california,hoc phi Azusa Pacific University 2026,"Azusa Pacific University review 2026: hoc phi, dieu kien, OPEID",Review Azusa Pacific University o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Azusa Pacific University tai Azusa, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109819,Bakersfield College,,Bakersfield,Kern County,CA,93305-1299,1,Public,1,1,4-year,11,City: Large,https://www.bakersfieldcollege.edu/,https://www.bakersfieldcollege.edu/services-and-resources/admissions/index.html,https://www.bakersfieldcollege.edu/enrollment-aid/financial-aid/index.html,https://misweb.cccco.edu/npc/521/npcalc.htm,https://www.bakersfieldcollege.edu/enrollment-aid/apply/index.html,00111800,00111800,001118,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,bakersfield-college-bakersfield-california,review Bakersfield College california,hoc phi Bakersfield College 2026,"Bakersfield College review 2026: hoc phi, dieu kien, OPEID",Review Bakersfield College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Bakersfield College tai Bakersfield, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",university-college-review,informational-commercial
109907,Barstow Community College,,Barstow,San Bernardino County,CA,92311,1,Public,4,2,2-year,32,Town: Distant,www.barstow.edu/,www.barstow.edu/Admission-and-Records.html,www.barstow.edu/Financial-Aid.html,https://misweb.cccco.edu/npc/911/npcalc.htm,https://www.opencccapply.net/gateway/apply?cccMisCode=911,00111900,00111900,001119,2023,HD2023,https://nces.ed.gov/ipeds/datacenter/data/HD2023.zip,barstow-community-college-barstow-california,review Barstow Community College california,hoc phi Barstow Community College 2026,"Barstow Community College review 2026: hoc phi, dieu kien, OPEID",Review Barstow Community College o California cho du hoc sinh Viet Nam,"Tong hop IPEDS cho Barstow Community College tai Barstow, California: loai truong, cap dao tao, website, va ma OPE chuan de lam SEO.",community-college-review,informational-commercial
